audio_filepath,text,primary_language
audio/281474976884635_f3269_chunk_0.wav,Our district Hasana was the land of the great Hoysala dynasty who ruled over this region from 11th to 14th century CE.,Kannada
audio/281474976885801_f2235_chunk_24.wav,There is a gradual shift in the mentality,Kannada
audio/281474976925705_f2479_chunk_0.wav,Wow,Dogri
audio/281474976901104_f2909_chunk_0.wav,Nipah virus belongs to  the,Maithili
audio/281474976888137_f2862_chunk_0.wav,How much money is left in my Arunachal Pradesh Rural Bank account?,Maithili
audio/281474976897257_f2902_chunk_0.wav,Govinda has received 12 Filmfare Award nominations and 4 Zee Cine Awards.,Bengali
audio/281474976897459_f2145_chunk_1.wav,There are many big rivers,Bodo
audio/281474976893913_f2002_chunk_19.wav,where it is joined by other branches to form the Brahmaputra,Bodo
audio/281474976887171_f3278_chunk_0.wav,There have been many attempts recently to make sure that the people maintain their,Malayalam
audio/281474976889893_f2012_chunk_0.wav,"Jammu, Samba, Kathua, Rajouri, Poonch",Dogri
audio/281474976888630_f3289_chunk_6.wav,"Among the poets, I remember William Wordsworth, T.S.",Kannada
audio/281474976901801_f1956_chunk_0.wav,What are the main social welfare and development programs and initiatives in your district?,Assamese
audio/281474976884131_f3182_chunk_7.wav,normal competitions what we have.,Marathi
audio/281474976893178_f1746_chunk_2.wav,what is an usual word and what is unusual words and phrases,Odia
audio/281474976888910_f3173_chunk_1.wav,see this track as my professionalism but I used to manage some time in writing as my,Nepali
audio/281474976891399_f2256_chunk_0.wav,Can you speak 5 numbers,Malayalam
audio/281474976888891_f3059_chunk_0.wav,Will I be able to pay using UPI apps on Hotstar website?,Nepali
audio/281474976894763_f2870_chunk_0.wav,Backward,Nepali
audio/281474976891379_f346_chunk_0.wav,define the word absolute,Malayalam
audio/281474976883853_f3233_chunk_0.wav,Meghalaya is one of the less developed or underdeveloped states in northeastern India.,Nepali
audio/281474976888952_f1897_chunk_1.wav,"literally feel how the people live in villages, how difficult their lives are, what all circumstances they go through, and I could sympathize with them.",Konkani
audio/281474976893301_f2100_chunk_1.wav,it is something which gives you warmth and the flavours are very different from the kind of food we as North Indians eat.,Hindi
audio/281474976900640_f2173_chunk_4.wav,it is not only restricted to school books the school goers are asked by their RSS appointed teachers to attend the RSS shakhas from a young age thus enabling the Sangh Parivar to indoctrinate young impressionable minds,Urdu
audio/281474976898128_f2237_chunk_0.wav,"So, as in our state, the government is launching a lot of programs and schemes for business, dealers and owners to make the traditional way of business into digitalization as it is more easier",Odia
audio/281474976884181_f1862_chunk_1.wav,"on each and every subject and he definitely deals with, handles all the good part of the happenings around the world.",Punjabi
audio/281474976888157_f3255_chunk_7.wav,So these are some of the features of Mithila cooking.,Maithili
audio/281474976887664_f1766_chunk_0.wav,English breaks the communication barriers between people of diverse cultural backgrounds and it creates a new community where people come together and share their cultures and ideas with broader audience.,Konkani
audio/281474976893764_f1557_chunk_0.wav,Play,Punjabi
audio/281474976900326_f424_chunk_0.wav,Visual,Kashmiri
audio/281474976886877_f3160_chunk_4.wav,"And also, people speaking English have different accents in different regions.",Tamil
audio/281474976893787_f3214_chunk_1.wav,"Education, Health, Care, Poverty, Reduction, Women's Empowerment",Punjabi
audio/281474976893075_f2114_chunk_7.wav,source language,Marathi
audio/281474976896704_f1716_chunk_3.wav,"trains,",Telugu
audio/281474976895627_f1138_chunk_0.wav,Cat,Assamese
audio/281474976894265_f3140_chunk_2.wav,"Through poetry, I can put my thoughts on a display more creatively.",Kashmiri
audio/281474976883948_f1921_chunk_6.wav,The main food of,Malayalam
audio/281474976888909_f3258_chunk_4.wav,who is physically challenged or disordered in real life but with the guts and a great contribution in the literature,Nepali
audio/281474976885520_f1686_chunk_2.wav,our local traditions and beliefs by giving an opportunity,Kannada
audio/281474976903872_f1626_chunk_0.wav,Are there any vaccination centres available in South Goa district for age group 18+ years,Nepali
audio/281474976899454_f1985_chunk_1.wav,hang on the rock. I find it useful and best because it helps me that we climb faster.,Marathi
audio/281474976897558_f1287_chunk_0.wav,Can you list all the vaccination centres where First Dose of COVAXIN is available for age groups 15-17 years,Hindi
audio/281474976886709_f3213_chunk_5.wav,and they went off into the space when earth was burning up or being destroyed,Telugu
audio/281474976886998_f3238_chunk_3.wav,that I came here.,Telugu
audio/281474976901435_f1232_chunk_0.wav,send a complaint to consumer service of this company,Urdu
audio/281474976894274_f2214_chunk_12.wav,"In the university, I learned the technicalities of language since I am a linguistics student.",Kashmiri
